term	paraphrase
Cancers du larynx et du système digestif	y compris les cancers de l'œsophage, de l'estomac et du colon
maladie spécifique	maladie pulmonaire, diabète, cardiopathie ischémique
hypertension légère à modérée	définie comme une pression sanguine systolique de 140 à 169 mmHg et une pression sanguine diastolique de 90 à 109 mmHg
myasthénie	maladie auto-immune déclenchée par des autoanticorps qui ciblent le plus souvent le récepteur nicotinique de l'acétylcholine
myasthénie grave	maladie auto-immune dans laquelle des auto-anticorps interfèrent avec la transmission neuromusculaire
myasthénie grave	comme pour d'autres maladies auto-immunes
affection neuro-musculaire	'myasthenia gravis'
événements indésirables légers et transitoires	affection gastro-intestinales et des ulcères buccaux
pemphigoïde bulleuse (PB)	est la maladie auto-immune de boursouflure de la peau la plus courante dans le monde occidental
effets indésirables mineurs	troubles sensoriels et ampoules
médicaments anti-inflammatoires non stéroïdiens AINS)	agents importants dans la prise en charge des affections arthritiques et inflammatoires et sont parmi les médicaments les plus souvent prescrits en Amérique du Nord et en Europe
achalasie	maladie qui dégrade la motilité oesophagienne
RGO	par exemple l'indice de reflux
asthme	affection chronique dont les victimes peuvent avoir des exacerbations occasionnelles ou fréquentes entrainant des visites en service d'urgence (SU)
grippe	maladie respiratoire aiguë provoquée par des virus grippaux A et B
insuffisance cardiaque (IC)	maladie courante grave associée à une hospitalisation fréquente
piroxicam	est un anti-inflammatoire non-stéroïdien (AINS) possédant des propriétés analgésiques ; il est utilisé principalement pour traiter des troubles rhumatismaux
syndrome d'hyperstimulation ovarienne (SHSO)	est une affection iatrogénique potentiellement mortelle résultant d'une stimulation ovarienne excessive
patients atteints de la maladie de Parkinson	souffrent couramment de troubles de la parole et de problème vocaux, notamment de dysarthrie, de volume sonore réduit et de perte de l'articulation
orthophonie	traitement des troubles de la parole
difficultés en termes de parole et de voix	articulation dégradée et un volume réduit
sclérose latérale amyotrophique	maladie des motoneurones
trouble psychotique aigu	de schizophrénie, de trouble schizo-affectif, de trouble affectifs mixtes, de phase maniaque du trouble bipolaire ou de crise psychotique brève
antipsychotiques de deuxième génération	maladie la zotépine et l'amisulpride
démence d'Alzheimer	et les troubles cognitifs
fausse couche	définie  ou la perte spontanée d'une grossesse avant la viabilité foetale, le décès du bébé (la mortinaissance ou la mortalité néonatale) et la mortalité maternelle
tests objectifs de dépistage de la maladie artérielle	le temps de remplissage veineux, le débit sanguin musculaire et la pléthysmographie
fibrose pulmonaire idiopathique (FPI)	maladie associée à une morbidité et une mortalité élevées
procédure de revascularisation	pontage aorto-coronarien (PAC) ou une intervention coronarienne percutanée (ICP)
Paralysie de Bell	Paralysie faciale idiopathique ou Paralysie faciale
audit	étant un bilan des performances cliniques au cours d'une période définie
pathologies hypoxémiques chorniques	telles que les maladies cardio-vasculaires, rénales, hépatiques et pulmonaires ou un âge avancé
cyclosporine	est un agent immunodépresseur qui présente des effets bénéfiques dans le traitement de plusieurs troubles inflammatoires
HTAP	HTAPP, HTAP secondaire à un trouble du tissu conjonctif ou populations mixtes
intervention didactique	par exemple un plan écrit de prise en charge de l'asthme
trouble déficitaire de l'attention avec hyperactivité (TDAH)	est par exemple un trouble du développement neurologique qui se caractérise par des niveaux élevés d'inattention, d'hyperactivité et d'impulsivité existant avant l'âge de sept ans et constatés dans diverses situations, en décalage avec le niveau de développement de l'enfant, et provoquant des déficiences sociales ou scolaires
TDAH	ou trouble hyperkinétique
comportement de marginalisation de l'enfant	par exemple une mesure évaluant le non-respect des règles, un comportement défiant ou agressif
dépendance aux drogues	maladie chronique récurrente
dyskinésie tardive (DT)	trouble du mouvement de longue durée
agent dopaminergique	tels que la bromocriptine et la lévodopa
sclérose en plaques (SEP)	maladie chronique, récurrente, progressive et incurable
anticholinergique	benzhexol, benzatropine, bipéridène ou biperiden ou d'orphénadrine ou procyclidine ou la scopolamine ou trihexylphenidyl
dyskinésie tardive (DT)	trouble du mouvement défigurant qui affecte majoritairement la région buccofaciale et est souvent dû à l'utilisation de neuroleptiques
dyskinésie	trouble défigurant du mouvement de la région orofaciale qui peut être tardif (ayant un démarrage lent ou tardif)
médicament inhibiteur calcique	diltiazem, nifédipine, nimodipine, vérapamil
effets indésirables	par exemple la thrombose veineuse et les réactions allergiques
médicament cholinergique	arécoline, choline, déanol, lécithine, méclofénoxate, physostigmine, RS 86, tacrine, metoxytacrine, galantamine, ipidacrine, donépézil, rivastigmine, eptastigmine, métrifonate, xanoméline, cévimeline
dyskinésie tardive	trouble du mouvement incapacitant associé à l'utilisation prolongée de médicaments neuroleptiques
ostéoarthrite	forme la plus courante de la maladie articulaire et la principale cause de douleur et d'incapacité physique chez les personnes âgées
maladie spontanément résolutive	toux aiguë, bronchite
traitement antipsychotique	neuroleptique
trouble du mouvement	dyskinésie tardive (DT)
cancer du sein métastatique	maladie  incurable
syndrome de la vessie hyperactive	défini comme un besoin urgent d'uriner avec ou sans incontinence d'urgence, habituellement avec pollakiurie et nycturie
syndrome de fatigue chronique (SFC)	se caractérise par une fatigue persistante médicalement inexpliquée ainsi que des symptômes tels que des douleurs musculo-squelettiques, des maux de tête, et des troubles du sommeil, de la concentration et de la mémoire à court terme
carie dentaire	fait partie des maladies chroniques de l'enfant les plus répandues dans le monde entier
trouble gastro-intestinal	les événements indésirables les plus fréquemment rapportés
paramètre cardiovasculaire	par exemple pression artérielle et fréquence cardiaque
problème de mémoire	maladie troubles cognitifs
hypofertilité	troubles menstruels
asthme sévère	anomalies immunologiques
syndrome de Lennox-Gastaut (SLG)	trouble spécifique de l'âge caractérisé par des crises d'épilepsie, un électroencéphalogramme (EEG) caractéristique, un retard psychomoteur et un trouble du comportement
graves trouble du comportement	une hyperactivité, une agressivité et des tendances autistiques
BPCO	maladie évolutive dont les exacerbations, au stade avancé, peuvent entraîner une insuffisance ventilatoire
maladie inflammatoire chronique de la vessie	maladie la cystite interstitielle, la tuberculose et la schistosomiase
questionnaire Minnesota Living with Heart Failure	une mesure de la qualité de vie liée à la santé spécifique à la maladie
entorse cervicale de degré 1 ou 2	douleurs cervicales et musculo-squelettiques
circoncision	définie comme l'ablation chirurgicale d'une partie ou de la totalité du prépuce sur le pénis et peut être pratiquée en tant que rituel religieux, procédure médicale, ou en tant que rituel traditionnel réalisé sous forme d'initiation permettant le passage à l'âge adulte
rémission complète des symptômes boulimiques	définie comme une réduction de 100 pour cent des épisodes d'hyperphagie ou de purge entre l'inclusion et le dernier suivi
patient schizophrène	atteint de troubles mentaux sévères de même nature
bronchite aiguë	l'une des maladies les plus fréquemment rencontrées en soins primaires
endurance à l'exercice	par exemple les capacités aérobiques maximums  VO2 , la vitesse de marche, la force ou la puissance musculaire et la fatigabilité
syndrome du côlon irritable (SCI)	trouble gastro-intestinal chronique courant
syndromes coronariens aigus sans surélévation du segment ST	SCA non ST+
systèmes de communication améliorée et alternative (CAA)	par exemple des tableaux de symboles ou des appareils de synthèse vocale, ainsi qu'un travail sur les formes naturelles de communication des enfants
infirmité motrice cérébrale (IMC)	est par exemple un ensemble de troubles permanents du développement moteur et postural entraînant une ou plusieurs limitation(s) des activités
volume du lymphoedème (LO)	défini comme étant la quantité de liquide excédentaire restant dans le bras après traitement, calculé en ml (bras affecté après traitement moins bras non affecté après traitement)
sécrétine	une hormone gastro-intestinale
douleur latérale du coude	est une maladie courante entraînant une douleur au niveau du coude et de l'avant-bras et une réduction de la force et de la fonction du coude et du poignet
douleur latérale du coude	affections musculo-squelettiques
asthme	présence d'une obstruction variable du flux d'air qui se traduit par des symptômes (plus d'un symptôme parmi la respiration sifflante, l'essoufflement, les sensations d'oppression et la toux)
infection bactérienne	telle que la pharyngite à streptocoques et l'infection urinaire
restriction	utilisation de règles pour réduire la possibilité de pratiquer le comportement visé (ou d'amplifier ce comportement en réduisant la possibilité d'adopter des comportements concurrents)
naloxone	antagoniste des opiacés
audit avec retour d'information	défini comme un bilan de la performance clinique sur une certaine période
asthme	maladie respiratoire qui affecte environ 300 millions de personnes dans le monde et est associé à une morbidité et une mortalité importantes
BPCO	les maladies respiratoires
